Analysis_domain,Reference,Analysis_interval,Avg_interval_biweekly,Heat_1988-2013_avg,Heat_1988-2013_std,Heat_1988-2013_trnd,Heat_1988-2013_trnd_sig,Heat_1982-1990_avg,Heat_1991-2000_avg,Heat_2001-2013_avg,Reference_file
Arctic Ocean-Coastal,Figure 7a,1988-2013,11-Jan,418.86,1.4711,71.436,99,369.47,399.29,445.3,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,25-Jan,396.71,2.2173,66.018,99,352.82,377.95,421.27,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,08-Feb,380.12,1.892,59.012,95,345.47,361.07,402.76,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,22-Feb,366.92,3.7255,51.159,95,337.55,349.33,387.23,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,08-Mar,358.25,6.2549,45.391,90,329.41,342.87,376.75,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,22-Mar,353.16,6.396,39.381,90,325.75,340.56,369.18,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,05-Apr,353.07,6.191,36.47,0,326.06,341.55,368.16,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,19-Apr,360.93,6.5464,38.932,0,334.12,347.5,377.46,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,03-May,380.65,6.7103,42.739,0,352.22,364.49,399.64,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,17-May,414.69,6.88,50.049,90,383.72,395.51,436.58,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,31-May,469.77,5.9132,64.831,95,435.67,445.39,496.4,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,14-Jun,546.63,4.2306,84.893,95,508.19,516.03,579.05,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,28-Jun,646.54,2.149,109.69,99,605.98,607.95,685.59,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,12-Jul,761.63,0.3335,133.12,99,718.31,715.89,806.82,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,26-Jul,877.14,3.9921,161.2,99,828.07,823.86,929.45,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,09-Aug,973.74,6.4544,184.01,99,920.8,913.04,1032.6,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,23-Aug,1036,6.8076,200.15,99,980.06,969.85,1099.9,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,06-Sep,1052.8,6.4142,205.64,99,995.85,985.2,1118,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,20-Sep,1023.3,6.4279,211.17,99,962.82,956.02,1089,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,04-Oct,950.43,5.8396,204.49,99,891.18,885.8,1013.8,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,18-Oct,852.1,3.6392,191.97,99,794.05,790.48,912.91,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,01-Nov,746.29,0.5806,156.17,99,693.8,696.6,796.62,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,15-Nov,645.36,4.3389,120.8,99,594.42,610.39,684.02,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,29-Nov,558.53,7.2238,99.39,99,507.53,531.12,591.38,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,13-Dec,493.65,7.7441,79.347,99,450.82,471.13,520.86,Fig7a_Arctic.txt
Arctic Ocean-Coastal,Figure 7a,1988-2013,27-Dec,469.55,1.0729,80.44,99,433.23,449.09,495.68,Fig7a_Arctic.txt
North America Ocean-Coastal,Figure 7b,1988-2013,11-Jan,460.12,6.1009,61.535,90,407.7,443.17,485.25,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,25-Jan,439.15,6.2587,61.303,90,392.5,421.2,463.71,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,08-Feb,422.92,6.1174,57.778,90,384.41,403.37,446.84,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,22-Feb,410.14,7.9232,52.94,90,374.74,391.52,432.63,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,08-Mar,401.23,10.786,44.858,0,363.7,386.34,421.35,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,22-Mar,396.34,10.21,39.021,0,359.18,384.48,414.04,Fig7b_NAmerica.txt
